,Date,ID,bin_pink,polarity,subjectivity,intensity,base_polarity,base_subjectivity
26,10/4/2013,17-1,1,0.01818181818181817,0.3772727272727273,0.01818181818181817,0.16433705183705183,0.33631969881969875
27,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705183,0.33631969881969875
28,10/4/2013,17-1,1,-0.1,0.3,-0.1,0.16433705183705183,0.33631969881969875
29,10/4/2013,17-1,1,0.16666666666666669,0.5666666666666667,0.16666666666666669,0.16433705183705183,0.33631969881969875
30,10/4/2013,17-1,1,0.2,0.30000000000000004,0.2,0.16433705183705183,0.33631969881969875
31,6/11/2012,18-1,1,-0.025,0.28750000000000003,-0.025,0.031662679425837316,0.242813995215311
32,6/11/2012,18-1,1,-0.09,0.43666666666666665,-0.09,0.031662679425837316,0.242813995215311
33,6/11/2012,18-1,1,-0.1,0.3,-0.1,0.031662679425837316,0.242813995215311
34,6/11/2012,18-1,1,0.09545454545454546,0.55,0.09545454545454546,0.031662679425837316,0.242813995215311
35,6/11/2012,18-1,1,-0.1,0.3,-0.1,0.031662679425837316,0.242813995215311
36,10/1/2014,20-1,1,-0.1,0.3,-0.1,0.06315789473684211,0.22834168755221387
37,10/22/2011,9-11,1,-0.03333333333333333,0.4749999999999999,-0.03333333333333333,0.01579471664698938,0.31854707792207787
38,10/22/2011,9-11,1,-0.05,0.65,-0.05,0.01579471664698938,0.31854707792207787
39,10/22/2011,9-11,1,-0.11666666666666665,0.3333333333333333,-0.11666666666666665,0.01579471664698938,0.31854707792207787
40,10/22/2011,9-11,1,-0.10357142857142856,0.4357142857142857,-0.10357142857142856,0.01579471664698938,0.31854707792207787
41,9/18/2011,9-14,1,0.15000000000000002,0.35,0.15000000000000002,0.13823717948717945,0.5464726495726497
42,9/18/2011,9-14,1,0.1625,0.525,0.1625,0.13823717948717945,0.5464726495726497
43,9/18/2011,9-14,1,0.042857142857142864,0.3845238095238095,0.042857142857142864,0.13823717948717945,0.5464726495726497
44,9/18/2011,9-14,1,-0.03333333333333333,0.18333333333333332,-0.03333333333333333,0.13823717948717945,0.5464726495726497
45,9/18/2011,9-14,1,-0.075,0.26666666666666666,-0.075,0.13823717948717945,0.5464726495726497
46,9/18/2011,9-14,1,0.00833333333333334,0.5314814814814814,0.00833333333333334,0.13823717948717945,0.5464726495726497
47,9/18/2011,9-14,1,0.25,0.65,0.25,0.13823717948717945,0.5464726495726497
48,9/18/2011,9-14,1,0.18,0.5199999999999999,0.18,0.13823717948717945,0.5464726495726497
49,9/18/2011,9-14,1,-0.325,0.25,-0.325,0.13823717948717945,0.5464726495726497
50,9/18/2011,9-14,1,-0.02,0.28500000000000003,-0.02,0.13823717948717945,0.5464726495726497
51,9/18/2011,9-14,1,-0.1,0.3,-0.1,0.13823717948717945,0.5464726495726497
52,2/28/2013,9-16,1,0.15000000000000002,0.55,0.15000000000000002,0.026520562770562757,0.36332341269841273
53,2/28/2013,9-16,1,-0.05,0.15,-0.05,0.026520562770562757,0.36332341269841273
54,3/14/2013,9-17,1,-0.1,0.3,-0.1,0.12004704330461904,0.5138576530091681
55,3/9/2011,9-25,1,0.2,0.4,0.2,-0.03676398508898509,0.4322183742183742
56,1/28/2012,10-1,1,0.06666666666666668,0.30000000000000004,0.06666666666666668,0.10683743339993342,0.29103142228142226
57,2/7/2012,10-2,1,0.05,0.3,0.05,0.15962962962962962,0.16092592592592592
58,2/7/2012,10-2,1,0.05,0.20000000000000004,0.05,0.15962962962962962,0.16092592592592592
59,6/13/2012,10-4,1,-0.0851851851851852,0.5296296296296297,-0.0851851851851852,0.09285431344254876,0.29241544597637026
60,6/19/2012,10-6,1,-0.1,0.3,-0.1,0.14804903413769693,0.375042527885551
61,7/18/2012,10-9,1,-0.1,0.3,-0.1,0.13494224829751147,0.3515671122250071
62,8/9/2012,10-10,1,0.25,0.45,0.25,0.1134717519583591,0.42866403190063895
63,8/9/2012,10-10,1,-0.025,0.3,-0.025,0.1134717519583591,0.42866403190063895
64,12/6/2012,10-11,1,0.03333333333333333,0.2,0.03333333333333333,0.10365761689291102,0.3018891402714932
65,1/26/2013,10-14,1,0.18611111111111112,0.5222222222222223,0.18611111111111112,0.10710495253440039,0.3267594712149927
66,10/16/2013,10-19,1,-0.19583333333333336,0.4208333333333333,-0.19583333333333336,0.14040638545268175,0.3356438811531404
67,2/4/2014,10-20,1,0.35,0.65,0.35,0.24188862834696165,0.5889324795574795
68,10/27/2015,23-21,1,0.11666666666666665,0.65,0.11666666666666665,0.0957697510822511,0.4406286421911421
69,10/23/2015,23-22,1,-0.03333333333333333,0.26666666666666666,-0.03333333333333333,0.11425396825396825,0.4535515873015873
70,10/23/2015,23-22,1,0.5,0.7666666666666666,0.5,0.11425396825396825,0.4535515873015873
71,10/23/2015,23-22,1,-0.021088435374149662,0.3431972789115646,-0.021088435374149662,0.11425396825396825,0.4535515873015873
72,10/23/2015,23-22,1,0.07433862433862434,0.44100529100529096,0.07433862433862434,0.11425396825396825,0.4535515873015873
73,10/19/2015,23-23,1,-0.3,0.65,-0.3,0.2865440115440115,0.5232683982683982
74,10/19/2015,23-23,1,-0.04,0.12,-0.04,0.2865440115440115,0.5232683982683982
75,10/5/2015,23-28,1,-0.03999999999999999,0.42,-0.03999999999999999,0.038522229686022785,0.3521825396825397
76,10/5/2015,23-28,1,-0.12222222222222225,0.3444444444444444,-0.12222222222222225,0.038522229686022785,0.3521825396825397
77,9/21/2015,23-34,1,0.2,0.4,0.2,0.09296622237411711,0.2721574770258981
78,9/21/2015,23-34,1,0.21666666666666667,0.35000000000000003,0.21666666666666667,0.09296622237411711,0.2721574770258981
79,9/21/2015,23-34,1,-0.21083333333333332,0.3533333333333333,-0.21083333333333332,0.09296622237411711,0.2721574770258981
80,9/21/2015,23-34,1,0.04,0.1953846153846154,0.04,0.09296622237411711,0.2721574770258981
81,9/21/2015,23-34,1,-0.10000000000000002,0.3,-0.10000000000000002,0.09296622237411711,0.2721574770258981
82,6/1/2015,23-68,1,-0.1,0.3,-0.1,-0.009131393298059972,0.1773126102292769
83,6/1/2015,23-68,1,-0.06666666666666668,0.3,-0.06666666666666668,-0.009131393298059972,0.1773126102292769
84,6/1/2015,23-68,1,-0.05,0.15,-0.05,-0.009131393298059972,0.1773126102292769
85,6/1/2015,23-68,1,-0.1,0.3,-0.1,-0.009131393298059972,0.1773126102292769
86,11/10/2014,23-121,1,0.0,0.45,0.0,0.009895833333333335,0.1908564814814815
87,10/25/2014,23-125,1,0.2,0.4,0.2,0.12645502645502646,0.25810345518678857
88,10/23/2014,23-127,1,-0.06666666666666668,0.2375,-0.06666666666666668,0.1703849206349206,0.36231944444444447
89,10/23/2014,23-127,1,-9.251858538542969e-18,0.5666666666666667,-9.251858538542969e-18,0.1703849206349206,0.36231944444444447
90,10/23/2014,23-127,1,-0.1,0.3,-0.1,0.1703849206349206,0.36231944444444447
91,10/23/2014,23-127,1,0.2055555555555556,0.5222222222222223,0.2055555555555556,0.1703849206349206,0.36231944444444447
92,10/23/2014,23-127,1,-0.1027777777777778,0.2444444444444445,-0.1027777777777778,0.1703849206349206,0.36231944444444447
93,10/13/2014,23-137,1,-0.14375,0.4,-0.14375,0.0206777812134955,0.40079459561602415
94,2/28/2016,26-3,1,-0.075,0.225,-0.075,0.20113143150252524,0.502368833423521
95,2/28/2016,26-3,1,-0.05,0.525,-0.05,0.20113143150252524,0.502368833423521
96,2/13/2016,26-5,1,-0.35,0.55,-0.35,0.012727669982134265,0.3637892888636936
97,2/13/2016,26-5,1,-0.1125,0.3375,-0.1125,0.012727669982134265,0.3637892888636936
98,2/13/2016,26-5,1,-0.2,0.14166666666666666,-0.2,0.012727669982134265,0.3637892888636936
